"기준_년분기_코드","자치구_코드","자치구_코드_명","상권_변화_지표","상권_변화_지표_명","운영_영업_개월_평균","폐업_영업_개월_평균","서울_운영_영업_개월_평균","서울_폐업_영업_개월_평균"
"20254","11440","마포구","LL","다이나믹","98","49","115","53"
"20254","11410","서대문구","LH","상권확장","115","54","115","53"
"20254","11380","은평구","LL","다이나믹","111","52","115","53"
"20254","11350","노원구","LL","다이나믹","110","52","115","53"
"20254","11320","도봉구","LL","다이나믹","107","51","115","53"
"20254","11305","강북구","LL","다이나믹","113","49","115","53"
"20254","11290","성북구","LH","상권확장","112","54","115","53"
"20254","11260","중랑구","LL","다이나믹","111","50","115","53"
"20254","11230","동대문구","HH","정체","124","55","115","53"
"20254","11215","광진구","LL","다이나믹","110","52","115","53"
"20254","11200","성동구","LH","상권확장","111","56","115","53"
"20254","11170","용산구","HH","정체","120","58","115","53"
"20254","11140","중구","HH","정체","137","64","115","53"
"20254","11110","종로구","HH","정체","137","64","115","53"
"20253","11740","강동구","LL","다이나믹","108","50","113","53"
"20253","11710","송파구","HL","상권축소","115","51","113","53"
"20253","11680","강남구","LL","다이나믹","108","49","113","53"
"20253","11650","서초구","HH","정체","122","55","113","53"
"20253","11620","관악구","LL","다이나믹","107","50","113","53"
"20253","11590","동작구","HH","정체","117","57","113","53"
"20253","11560","영등포구","HH","정체","116","53","113","53"
"20253","11545","금천구","LL","다이나믹","113","52","113","53"
"20253","11530","구로구","HL","상권축소","122","52","113","53"
"20253","11500","강서구","LL","다이나믹","97","49","113","53"
"20253","11470","양천구","LL","다이나믹","112","50","113","53"
"20253","11440","마포구","LL","다이나믹","96","49","113","53"
"20253","11410","서대문구","LH","상권확장","113","54","113","53"
"20253","11380","은평구","LL","다이나믹","109","52","113","53"
"20253","11350","노원구","LL","다이나믹","108","52","113","53"
"20253","11320","도봉구","LL","다이나믹","106","51","113","53"
"20253","11305","강북구","LL","다이나믹","111","49","113","53"
"20253","11290","성북구","LH","상권확장","110","54","113","53"
"20253","11260","중랑구","LL","다이나믹","109","50","113","53"
"20253","11230","동대문구","HH","정체","123","55","113","53"
"20253","11215","광진구","LL","다이나믹","109","52","113","53"
"20253","11200","성동구","LH","상권확장","109","56","113","53"
"20253","11170","용산구","HH","정체","118","58","113","53"
"20253","11140","중구","HH","정체","135","64","113","53"
"20253","11110","종로구","HH","정체","135","63","113","53"
"20252","11740","강동구","LL","다이나믹","106","49","112","53"
"20252","11710","송파구","HL","상권축소","113","51","112","53"
"20252","11680","강남구","LL","다이나믹","106","49","112","53"
"20252","11650","서초구","HH","정체","120","55","112","53"
"20252","11620","관악구","LL","다이나믹","105","50","112","53"
"20252","11590","동작구","HH","정체","116","57","112","53"
"20252","11560","영등포구","HH","정체","115","53","112","53"
"20252","11545","금천구","LL","다이나믹","111","52","112","53"
"20252","11530","구로구","HL","상권축소","120","52","112","53"
"20252","11500","강서구","LL","다이나믹","96","49","112","53"
"20252","11470","양천구","LL","다이나믹","111","50","112","53"
"20252","11440","마포구","LL","다이나믹","95","49","112","53"
"20252","11410","서대문구","LH","상권확장","111","53","112","53"
"20252","11380","은평구","LL","다이나믹","107","52","112","53"
"20252","11350","노원구","LL","다이나믹","107","51","112","53"
"20252","11320","도봉구","LL","다이나믹","105","51","112","53"
"20252","11305","강북구","LL","다이나믹","110","49","112","53"
"20252","11290","성북구","LH","상권확장","109","54","112","53"
"20252","11260","중랑구","LL","다이나믹","107","49","112","53"
"20252","11230","동대문구","HH","정체","122","54","112","53"
"20252","11215","광진구","LL","다이나믹","108","51","112","53"
"20252","11200","성동구","LH","상권확장","108","55","112","53"
"20252","11170","용산구","HH","정체","117","58","112","53"
"20252","11140","중구","HH","정체","133","63","112","53"
"20252","11110","종로구","HH","정체","134","63","112","53"
"20251","11740","강동구","LL","다이나믹","105","49","111","52"
"20251","11710","송파구","HL","상권축소","112","51","111","52"
"20251","11680","강남구","LL","다이나믹","104","49","111","52"
"20251","11650","서초구","HH","정체","118","54","111","52"
"20251","11620","관악구","LL","다이나믹","104","50","111","52"
"20251","11590","동작구","HH","정체","114","56","111","52"
"20251","11560","영등포구","HH","정체","113","53","111","52"
"20251","11545","금천구","LL","다이나믹","109","51","111","52"
"20251","11530","구로구","HL","상권축소","118","52","111","52"
"20251","11500","강서구","LL","다이나믹","95","49","111","52"
"20251","11470","양천구","LL","다이나믹","109","50","111","52"
"20251","11440","마포구","LL","다이나믹","94","49","111","52"
"20251","11410","서대문구","LH","상권확장","110","53","111","52"
"20251","11380","은평구","LL","다이나믹","106","51","111","52"
"20251","11350","노원구","LL","다이나믹","105","51","111","52"
"20251","11320","도봉구","LL","다이나믹","108","51","111","52"
"20251","11305","강북구","LL","다이나믹","108","49","111","52"
"20251","11290","성북구","LH","상권확장","108","53","111","52"
"20251","11260","중랑구","LL","다이나믹","106","49","111","52"
"20251","11230","동대문구","HH","정체","120","54","111","52"
"20251","11215","광진구","LL","다이나믹","107","51","111","52"
"20251","11200","성동구","LH","상권확장","107","55","111","52"
"20251","11170","용산구","HH","정체","116","57","111","52"
"20251","11140","중구","HH","정체","131","63","111","52"
"20251","11110","종로구","HH","정체","133","63","111","52"
"20244","11740","강동구","LL","다이나믹","104","49","109","52"
"20244","11710","송파구","HL","상권축소","110","50","109","52"
"20244","11680","강남구","LL","다이나믹","102","49","109","52"
"20244","11650","서초구","HH","정체","116","54","109","52"
"20244","11620","관악구","LL","다이나믹","102","50","109","52"
"20244","11590","동작구","HH","정체","112","56","109","52"
"20244","11560","영등포구","HH","정체","111","52","109","52"
"20244","11545","금천구","LL","다이나믹","107","51","109","52"
"20244","11530","구로구","HL","상권축소","116","52","109","52"
"20244","11500","강서구","LL","다이나믹","93","48","109","52"
"20244","11470","양천구","LL","다이나믹","107","50","109","52"
"20244","11440","마포구","LL","다이나믹","92","49","109","52"
"20244","11410","서대문구","LH","상권확장","108","53","109","52"
"20244","11380","은평구","LL","다이나믹","104","51","109","52"
"20244","11350","노원구","LL","다이나믹","103","51","109","52"
"20244","11320","도봉구","LL","다이나믹","107","50","109","52"
"20244","11305","강북구","LL","다이나믹","106","48","109","52"
"20244","11290","성북구","LH","상권확장","106","53","109","52"
"20244","11260","중랑구","LL","다이나믹","104","49","109","52"
"20244","11230","동대문구","HH","정체","118","54","109","52"
"20244","11215","광진구","LL","다이나믹","105","51","109","52"
"20244","11200","성동구","LH","상권확장","105","55","109","52"
"20244","11170","용산구","HH","정체","114","57","109","52"
"20244","11140","중구","HH","정체","129","63","109","52"
"20244","11110","종로구","HH","정체","131","63","109","52"
"20243","11740","강동구","LL","다이나믹","102","49","107","52"
"20243","11710","송파구","HL","상권축소","108","50","107","52"
"20243","11680","강남구","LL","다이나믹","101","49","107","52"
"20243","11650","서초구","HH","정체","114","54","107","52"
"20243","11620","관악구","LL","다이나믹","99","49","107","52"
"20243","11590","동작구","HH","정체","111","56","107","52"
"20243","11560","영등포구","HH","정체","109","52","107","52"
"20243","11545","금천구","LL","다이나믹","105","51","107","52"
"20243","11530","구로구","HL","상권축소","113","51","107","52"
"20243","11500","강서구","LL","다이나믹","91","48","107","52"
"20243","11470","양천구","LL","다이나믹","105","50","107","52"
"20243","11440","마포구","LL","다이나믹","90","48","107","52"
"20243","11410","서대문구","LH","상권확장","106","53","107","52"
"20243","11380","은평구","LL","다이나믹","102","51","107","52"
"20243","11350","노원구","LL","다이나믹","101","51","107","52"
"20243","11320","도봉구","LL","다이나믹","105","50","107","52"
"20243","11305","강북구","LL","다이나믹","104","48","107","52"
"20243","11290","성북구","LH","상권확장","104","53","107","52"
"20243","11260","중랑구","LL","다이나믹","102","49","107","52"
"20243","11230","동대문구","HH","정체","116","53","107","52"
"20243","11215","광진구","LL","다이나믹","103","51","107","52"
"20243","11200","성동구","LH","상권확장","104","54","107","52"
"20243","11170","용산구","HH","정체","112","57","107","52"
"20243","11140","중구","HH","정체","126","62","107","52"
"20243","11110","종로구","HH","정체","130","62","107","52"
"20242","11740","강동구","LL","다이나믹","100","49","105","52"
"20242","11710","송파구","HL","상권축소","106","50","105","52"
"20242","11680","강남구","LL","다이나믹","99","48","105","52"
"20242","11650","서초구","HH","정체","112","54","105","52"
"20242","11620","관악구","LL","다이나믹","98","49","105","52"
"20242","11590","동작구","HH","정체","110","55","105","52"
"20242","11560","영등포구","HH","정체","108","52","105","52"
"20242","11545","금천구","LL","다이나믹","103","51","105","52"
"20242","11530","구로구","HL","상권축소","111","51","105","52"
"20242","11500","강서구","LL","다이나믹","89","48","105","52"
"20242","11470","양천구","LL","다이나믹","103","49","105","52"
"20242","11440","마포구","LL","다이나믹","89","48","105","52"
"20242","11410","서대문구","LH","상권확장","105","53","105","52"
"20242","11380","은평구","LL","다이나믹","100","51","105","52"
"20242","11350","노원구","LL","다이나믹","99","50","105","52"
"20242","11320","도봉구","LL","다이나믹","103","50","105","52"
"20242","11305","강북구","LL","다이나믹","102","48","105","52"
"20242","11290","성북구","LH","상권확장","102","53","105","52"
"20242","11260","중랑구","LL","다이나믹","100","49","105","52"
"20242","11230","동대문구","HH","정체","115","53","105","52"
"20242","11215","광진구","LL","다이나믹","101","51","105","52"
"20242","11200","성동구","LH","상권확장","102","54","105","52"
"20242","11170","용산구","HH","정체","111","57","105","52"
"20242","11140","중구","HH","정체","124","62","105","52"
"20242","11110","종로구","HH","정체","128","62","105","52"
"20241","11740","강동구","LL","다이나믹","98","48","103","52"
"20241","11710","송파구","HL","상권축소","104","50","103","52"
"20241","11680","강남구","LL","다이나믹","98","48","103","52"
"20241","11650","서초구","HH","정체","111","53","103","52"
"20241","11620","관악구","LL","다이나믹","96","49","103","52"
"20241","11590","동작구","HH","정체","108","55","103","52"
"20241","11560","영등포구","HH","정체","106","52","103","52"
"20241","11545","금천구","LL","다이나믹","101","51","103","52"
"20241","11530","구로구","HL","상권축소","109","51","103","52"
"20241","11500","강서구","LL","다이나믹","88","48","103","52"
"20241","11470","양천구","LL","다이나믹","101","49","103","52"
"20241","11440","마포구","LL","다이나믹","87","48","103","52"
"20241","11410","서대문구","LH","상권확장","103","53","103","52"
"20241","11380","은평구","LL","다이나믹","98","51","103","52"
"20241","11350","노원구","LL","다이나믹","97","50","103","52"
"20241","11320","도봉구","LL","다이나믹","102","50","103","52"
"20241","11305","강북구","LL","다이나믹","101","48","103","52"
"20241","11290","성북구","LH","상권확장","101","53","103","52"
"20241","11260","중랑구","LL","다이나믹","99","49","103","52"
"20241","11230","동대문구","HH","정체","113","53","103","52"
"20241","11215","광진구","LL","다이나믹","99","51","103","52"
"20241","11200","성동구","LH","상권확장","101","54","103","52"
"20241","11170","용산구","HH","정체","109","56","103","52"
"20241","11140","중구","HH","정체","123","62","103","52"
"20241","11110","종로구","HH","정체","127","62","103","52"
"20234","11740","강동구","LL","다이나믹","97","48","102","51"
"20234","11710","송파구","HL","상권축소","103","50","102","51"
"20234","11680","강남구","LL","다이나믹","96","48","102","51"
"20234","11650","서초구","HH","정체","109","53","102","51"
"20234","11620","관악구","LL","다이나믹","95","49","102","51"
"20234","11590","동작구","HH","정체","107","55","102","51"
"20234","11560","영등포구","HH","정체","105","52","102","51"
"20234","11545","금천구","LL","다이나믹","99","50","102","51"
"20234","11530","구로구","HL","상권축소","108","51","102","51"
"20234","11500","강서구","LL","다이나믹","86","48","102","51"
"20234","11470","양천구","LL","다이나믹","100","49","102","51"
"20234","11440","마포구","LL","다이나믹","86","48","102","51"
"20234","11410","서대문구","LH","상권확장","102","52","102","51"
"20234","11380","은평구","LL","다이나믹","96","51","102","51"
"20234","11350","노원구","LL","다이나믹","97","50","102","51"
"20234","11320","도봉구","LL","다이나믹","101","49","102","51"
"20234","11305","강북구","LL","다이나믹","100","48","102","51"
"20234","11290","성북구","LH","상권확장","100","52","102","51"
"20234","11260","중랑구","LL","다이나믹","98","48","102","51"
"20234","11230","동대문구","HH","정체","112","53","102","51"
"20234","11215","광진구","LL","다이나믹","98","50","102","51"
"20234","11200","성동구","LH","상권확장","100","53","102","51"
"20234","11170","용산구","HH","정체","108","56","102","51"
"20234","11140","중구","HH","정체","121","62","102","51"
"20234","11110","종로구","HH","정체","126","61","102","51"
"20233","11740","강동구","LL","다이나믹","96","48","101","51"
"20233","11710","송파구","HL","상권축소","101","49","101","51"
"20233","11680","강남구","LL","다이나믹","95","48","101","51"
"20233","11650","서초구","HH","정체","108","53","101","51"
"20233","11620","관악구","LL","다이나믹","94","49","101","51"
"20233","11590","동작구","HH","정체","106","55","101","51"
"20233","11560","영등포구","HH","정체","104","51","101","51"
"20233","11545","금천구","LL","다이나믹","97","50","101","51"
"20233","11530","구로구","HL","상권축소","106","50","101","51"
"20233","11500","강서구","LL","다이나믹","85","48","101","51"
"20233","11470","양천구","LL","다이나믹","99","49","101","51"
"20233","11440","마포구","LL","다이나믹","85","48","101","51"
"20233","11410","서대문구","LH","상권확장","100","52","101","51"
"20233","11380","은평구","LL","다이나믹","95","50","101","51"
"20233","11350","노원구","LL","다이나믹","95","50","101","51"
"20233","11320","도봉구","LL","다이나믹","101","49","101","51"
"20233","11305","강북구","LL","다이나믹","98","47","101","51"
"20233","11290","성북구","LH","상권확장","98","52","101","51"
"20233","11260","중랑구","LL","다이나믹","97","48","101","51"
"20233","11230","동대문구","HH","정체","111","53","101","51"
"20233","11215","광진구","LL","다이나믹","97","50","101","51"
"20233","11200","성동구","LH","상권확장","99","53","101","51"
"20233","11170","용산구","HH","정체","107","56","101","51"
"20233","11140","중구","HH","정체","119","61","101","51"
"20233","11110","종로구","HH","정체","124","61","101","51"
"20232","11740","강동구","LL","다이나믹","96","48","100","51"
"20232","11710","송파구","HL","상권축소","101","49","100","51"
"20232","11680","강남구","LL","다이나믹","94","48","100","51"
"20232","11650","서초구","HH","정체","108","53","100","51"
"20232","11620","관악구","LL","다이나믹","94","49","100","51"
"20232","11590","동작구","HH","정체","106","54","100","51"
"20232","11560","영등포구","HH","정체","103","51","100","51"
"20232","11545","금천구","LL","다이나믹","98","50","100","51"
"20232","11530","구로구","HL","상권축소","105","50","100","51"
"20232","11500","강서구","LL","다이나믹","84","48","100","51"
"20232","11470","양천구","LL","다이나믹","98","49","100","51"
"20232","11440","마포구","LL","다이나믹","85","48","100","51"
"20232","11410","서대문구","LH","상권확장","100","52","100","51"
"20232","11380","은평구","LL","다이나믹","94","50","100","51"
"20232","11350","노원구","LL","다이나믹","95","49","100","51"
"20232","11320","도봉구","LL","다이나믹","100","49","100","51"
"20232","11305","강북구","LL","다이나믹","98","47","100","51"
"20232","11290","성북구","LH","상권확장","97","52","100","51"
"20232","11260","중랑구","LL","다이나믹","97","48","100","51"
"20232","11230","동대문구","HH","정체","111","52","100","51"
"20232","11215","광진구","LL","다이나믹","96","50","100","51"
"20232","11200","성동구","LH","상권확장","98","53","100","51"
"20232","11170","용산구","HH","정체","106","55","100","51"
"20232","11140","중구","HH","정체","118","61","100","51"
"20232","11110","종로구","HH","정체","124","61","100","51"
"20231","11740","강동구","LL","다이나믹","95","48","100","51"
"20231","11710","송파구","HL","상권축소","100","49","100","51"
"20231","11680","강남구","LL","다이나믹","94","47","100","51"
"20231","11650","서초구","HH","정체","107","52","100","51"
"20231","11620","관악구","LL","다이나믹","93","49","100","51"
"20231","11590","동작구","HH","정체","106","54","100","51"
"20231","11560","영등포구","HH","정체","103","51","100","51"
"20231","11545","금천구","LL","다이나믹","98","50","100","51"
"20231","11530","구로구","HL","상권축소","104","50","100","51"
"20231","11500","강서구","LL","다이나믹","84","48","100","51"
"20231","11470","양천구","LL","다이나믹","97","48","100","51"
"20231","11440","마포구","LL","다이나믹","85","48","100","51"
"20231","11410","서대문구","HH","정체","100","52","100","51"
"20231","11380","은평구","LL","다이나믹","94","50","100","51"
"20231","11350","노원구","LL","다이나믹","94","49","100","51"
"20231","11320","도봉구","LL","다이나믹","99","49","100","51"
"20231","11305","강북구","LL","다이나믹","97","47","100","51"
"20231","11290","성북구","LH","상권확장","97","52","100","51"
"20231","11260","중랑구","LL","다이나믹","96","48","100","51"
"20231","11230","동대문구","HH","정체","110","52","100","51"
"20231","11215","광진구","LL","다이나믹","96","50","100","51"
"20231","11200","성동구","LH","상권확장","98","53","100","51"
"20231","11170","용산구","HH","정체","106","55","100","51"
"20231","11140","중구","HH","정체","117","61","100","51"
"20231","11110","종로구","HH","정체","123","60","100","51"
"20224","11740","강동구","LL","다이나믹","95","48","99","51"
"20224","11710","송파구","HL","상권축소","99","49","99","51"
"20224","11680","강남구","LL","다이나믹","93","47","99","51"
"20224","11650","서초구","HH","정체","106","52","99","51"
"20224","11620","관악구","LL","다이나믹","93","48","99","51"
"20224","11590","동작구","HH","정체","105","54","99","51"
"20224","11560","영등포구","HH","정체","102","51","99","51"
"20224","11545","금천구","LL","다이나믹","98","50","99","51"
"20224","11530","구로구","HL","상권축소","104","50","99","51"
"20224","11500","강서구","LL","다이나믹","83","47","99","51"
"20224","11470","양천구","LL","다이나믹","97","48","99","51"
"20224","11440","마포구","LL","다이나믹","84","47","99","51"
"20224","11410","서대문구","HH","정체","100","51","99","51"
"20224","11380","은평구","LL","다이나믹","93","50","99","51"
"20224","11350","노원구","LL","다이나믹","94","49","99","51"
"20224","11320","도봉구","LL","다이나믹","99","48","99","51"
"20224","11305","강북구","LL","다이나믹","97","47","99","51"
"20224","11290","성북구","LH","상권확장","96","52","99","51"
"20224","11260","중랑구","LL","다이나믹","96","48","99","51"
"20224","11230","동대문구","HH","정체","110","52","99","51"
"20224","11215","광진구","LL","다이나믹","95","50","99","51"
"20224","11200","성동구","LH","상권확장","97","52","99","51"
"20224","11170","용산구","HH","정체","105","55","99","51"
"20224","11140","중구","HH","정체","117","60","99","51"
"20224","11110","종로구","HH","정체","122","60","99","51"
"20223","11740","강동구","LL","다이나믹","95","48","99","50"
"20223","11710","송파구","HL","상권축소","100","48","99","50"
"20223","11680","강남구","LL","다이나믹","92","47","99","50"
"20223","11650","서초구","HH","정체","106","52","99","50"
"20223","11620","관악구","LL","다이나믹","93","48","99","50"
"20223","11590","동작구","HH","정체","106","53","99","50"
"20223","11560","영등포구","HH","정체","103","50","99","50"
"20223","11545","금천구","LL","다이나믹","98","49","99","50"
"20223","11530","구로구","HL","상권축소","104","49","99","50"
"20223","11500","강서구","LL","다이나믹","84","47","99","50"
"20223","11470","양천구","LL","다이나믹","97","48","99","50"
"20223","11440","마포구","LL","다이나믹","84","47","99","50"
"20223","11410","서대문구","HH","정체","100","51","99","50"
"20223","11380","은평구","LL","다이나믹","93","49","99","50"
"20223","11350","노원구","LL","다이나믹","94","49","99","50"
"20223","11320","도봉구","LL","다이나믹","99","48","99","50"
"20223","11305","강북구","LL","다이나믹","97","47","99","50"
"20223","11290","성북구","LH","상권확장","96","51","99","50"
"20223","11260","중랑구","LL","다이나믹","96","47","99","50"
"20223","11230","동대문구","HH","정체","110","52","99","50"
"20223","11215","광진구","LL","다이나믹","95","49","99","50"
"20223","11200","성동구","LH","상권확장","97","52","99","50"
"20223","11170","용산구","HH","정체","106","55","99","50"
"20223","11140","중구","HH","정체","116","60","99","50"
"20223","11110","종로구","HH","정체","122","60","99","50"
"20222","11740","강동구","LL","다이나믹","94","48","98","50"
"20222","11710","송파구","HL","상권축소","98","48","98","50"
"20222","11680","강남구","LL","다이나믹","91","47","98","50"
"20222","11650","서초구","HH","정체","105","52","98","50"
"20222","11620","관악구","LL","다이나믹","92","48","98","50"
"20222","11590","동작구","HH","정체","105","53","98","50"
"20222","11560","영등포구","HH","정체","102","50","98","50"
"20222","11545","금천구","LL","다이나믹","97","49","98","50"
"20222","11530","구로구","HL","상권축소","103","49","98","50"
"20222","11500","강서구","LL","다이나믹","83","47","98","50"
"20222","11470","양천구","LL","다이나믹","96","48","98","50"
"20222","11440","마포구","LL","다이나믹","83","47","98","50"
"20222","11410","서대문구","HH","정체","99","51","98","50"
"20222","11380","은평구","LL","다이나믹","92","49","98","50"
"20222","11350","노원구","LL","다이나믹","93","48","98","50"
"20222","11320","도봉구","LL","다이나믹","98","48","98","50"
"20222","11305","강북구","LL","다이나믹","96","46","98","50"
"20222","11290","성북구","LH","상권확장","96","51","98","50"
"20222","11260","중랑구","LL","다이나믹","95","47","98","50"
"20222","11230","동대문구","HH","정체","108","51","98","50"
"20222","11215","광진구","LL","다이나믹","94","49","98","50"
"20222","11200","성동구","LH","상권확장","96","52","98","50"
"20222","11170","용산구","HH","정체","104","54","98","50"
"20222","11140","중구","HH","정체","115","60","98","50"
"20222","11110","종로구","HH","정체","121","60","98","50"
"20221","11740","강동구","LL","다이나믹","93","47","97","50"
"20221","11710","송파구","HL","상권축소","97","48","97","50"
"20221","11680","강남구","LL","다이나믹","90","47","97","50"
"20221","11650","서초구","HH","정체","104","51","97","50"
"20221","11620","관악구","LL","다이나믹","91","48","97","50"
"20221","11590","동작구","HH","정체","104","53","97","50"
"20221","11560","영등포구","HH","정체","101","50","97","50"
"20221","11545","금천구","LL","다이나믹","95","49","97","50"
"20221","11530","구로구","HL","상권축소","101","49","97","50"
"20221","11500","강서구","LL","다이나믹","82","47","97","50"
"20221","11470","양천구","LL","다이나믹","95","48","97","50"
"20221","11440","마포구","LL","다이나믹","82","47","97","50"
"20221","11410","서대문구","HH","정체","98","51","97","50"
"20221","11380","은평구","LL","다이나믹","91","49","97","50"
"20221","11350","노원구","LL","다이나믹","91","48","97","50"
"20221","11320","도봉구","LL","다이나믹","97","48","97","50"
"20221","11305","강북구","LL","다이나믹","95","46","97","50"
"20221","11290","성북구","LH","상권확장","95","51","97","50"
"20221","11260","중랑구","LL","다이나믹","94","47","97","50"
"20221","11230","동대문구","HH","정체","108","51","97","50"
"20221","11215","광진구","LL","다이나믹","93","49","97","50"
"20221","11200","성동구","LH","상권확장","95","51","97","50"
"20221","11170","용산구","HH","정체","104","54","97","50"
"20221","11140","중구","HH","정체","113","59","97","50"
"20221","11110","종로구","HH","정체","120","59","97","50"
"20214","11740","강동구","LL","다이나믹","92","47","96","50"
"20214","11710","송파구","LL","다이나믹","96","48","96","50"
"20214","11680","강남구","LL","다이나믹","89","47","96","50"
"20214","11650","서초구","HH","정체","103","51","96","50"
"20214","11620","관악구","LL","다이나믹","89","48","96","50"
"20214","11590","동작구","HH","정체","103","52","96","50"
"20214","11560","영등포구","HH","정체","100","50","96","50"
"20214","11545","금천구","LL","다이나믹","94","49","96","50"
"20214","11530","구로구","HL","상권축소","101","49","96","50"
"20214","11500","강서구","LL","다이나믹","81","47","96","50"
"20214","11470","양천구","LL","다이나믹","94","48","96","50"
"20214","11440","마포구","LL","다이나믹","81","47","96","50"
"20214","11410","서대문구","HH","정체","97","51","96","50"
"20214","11380","은평구","LL","다이나믹","91","49","96","50"
"20214","11350","노원구","LL","다이나믹","90","48","96","50"
"20214","11320","도봉구","LL","다이나믹","96","47","96","50"
"20214","11305","강북구","LL","다이나믹","93","46","96","50"
"20214","11290","성북구","LH","상권확장","95","51","96","50"
"20214","11260","중랑구","LL","다이나믹","93","47","96","50"
"20214","11230","동대문구","HH","정체","107","51","96","50"
"20214","11215","광진구","LL","다이나믹","92","49","96","50"
"20214","11200","성동구","LH","상권확장","94","51","96","50"
"20214","11170","용산구","HH","정체","103","54","96","50"
"20214","11140","중구","HH","정체","112","59","96","50"
"20214","11110","종로구","HH","정체","119","59","96","50"
"20213","11740","강동구","LL","다이나믹","92","47","96","50"
"20213","11710","송파구","LL","다이나믹","96","48","96","50"
"20213","11680","강남구","LL","다이나믹","89","47","96","50"
"20213","11650","서초구","HH","정체","102","51","96","50"
"20213","11620","관악구","LL","다이나믹","89","48","96","50"
"20213","11590","동작구","HH","정체","103","52","96","50"
"20213","11560","영등포구","HH","정체","100","50","96","50"
"20213","11545","금천구","LL","다이나믹","94","49","96","50"
"20213","11530","구로구","HL","상권축소","101","48","96","50"
"20213","11500","강서구","LL","다이나믹","81","47","96","50"
"20213","11470","양천구","LL","다이나믹","94","47","96","50"
"20213","11440","마포구","LL","다이나믹","81","47","96","50"
"20213","11410","서대문구","HH","정체","97","50","96","50"
"20213","11380","은평구","LL","다이나믹","91","49","96","50"
"20213","11350","노원구","LL","다이나믹","90","48","96","50"
"20213","11320","도봉구","LL","다이나믹","95","47","96","50"
"20213","11305","강북구","LL","다이나믹","93","46","96","50"
"20213","11290","성북구","LH","상권확장","95","51","96","50"
"20213","11260","중랑구","LL","다이나믹","94","47","96","50"
"20213","11230","동대문구","HH","정체","107","51","96","50"
"20213","11215","광진구","LL","다이나믹","92","49","96","50"
"20213","11200","성동구","LH","상권확장","94","51","96","50"
"20213","11170","용산구","HH","정체","103","54","96","50"
"20213","11140","중구","HH","정체","111","59","96","50"
"20213","11110","종로구","HH","정체","119","59","96","50"
"20212","11740","강동구","LL","다이나믹","91","47","95","49"
"20212","11710","송파구","LL","다이나믹","95","47","95","49"
"20212","11680","강남구","LL","다이나믹","88","46","95","49"
"20212","11650","서초구","HH","정체","101","51","95","49"
"20212","11620","관악구","LL","다이나믹","88","48","95","49"
"20212","11590","동작구","HH","정체","102","52","95","49"
"20212","11560","영등포구","HH","정체","99","49","95","49"
"20212","11545","금천구","LL","다이나믹","93","48","95","49"
"20212","11530","구로구","HL","상권축소","99","48","95","49"
"20212","11500","강서구","LL","다이나믹","80","47","95","49"
"20212","11470","양천구","LL","다이나믹","93","47","95","49"
"20212","11440","마포구","LL","다이나믹","81","46","95","49"
"20212","11410","서대문구","HH","정체","96","50","95","49"
"20212","11380","은평구","LL","다이나믹","90","49","95","49"
"20212","11350","노원구","LL","다이나믹","89","48","95","49"
